"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"3,8      (M89.42) Other hypertrophic
76       osteoarthropathy, upper arm","1","0","1","0.0011363636363636","0"
"3,8      (S34.1) Other injury of lumbar spinal
77       cord","0","1","1","0.0011363636363636","0"
"3,8      (O98.9) Unspecified maternal infectious
78       or parasitic disease complicating","0","1","1","0.0011363636363636","0"
"3,8      (P83.6) Umbilical polyp of newborn 79","0","1","1","0.0011363636363636","0"
"3,8      (Q52.0) Congenital absence of vagina 80","0","1","1","0.0011363636363636","0"
"3,8      (N29.1) Other disorders of kidney and
81       ureter in infectious and parasitic","0","1","1","0.0011363636363636","0"
"3,8      (S43.3) Dislocation of other and
82       unspecified parts of shoulder girdle","1","0","1","0.0011363636363636","0"
"3,8      (S43.4) Sprain and strain of shoulder
83       joint","1","0","1","0.0011363636363636","0"
"3,8      (N04.0) Nephrotic syndrome, minor
84       glomerular abnormality","1","0","1","0.0011363636363636","0"
"3,8      (M81.66) Localized osteoporosis
85       [lequesne], lower leg","0","1","1","0.0011363636363636","0"
"3,8      (M79.63) Pain in limb, forearm 86","0","1","1","0.0011363636363636","0"
"3,8      (N34.0) Urethral abscess 87","1","0","1","0.0011363636363636","0"
"3,8      (N00.0) Acute nephritic syndrome, minor
88       glomerular abnormality","0","1","1","0.0011363636363636","0"
"3,8      (M87.05) Idiopathic aseptic necrosis of
89       bone, pelvic and thigh","0","1","1","0.0011363636363636","0"
"3,8      (M65.1) Other infective (teno)synovitis 90","0","1","1","0.0011363636363636","0"
"3,8      (O66.9) Obstructed labour, unspecified 91","0","1","1","0.0011363636363636","0"
"3,8      (O70.1) Second degree perineal
92       laceration during delivery","1","0","1","0.0011363636363636","0"
"3,8      (O82.2) Delivery by caesarean
93       hysterectomy","0","1","1","0.0011363636363636","0"
"3,8      (N39.1) Persistent proteinuria,
94       unspecified","0","1","1","0.0011363636363636","0"
"3,8      (M79.83) Other specified soft tissue
95       disorders, forearm","0","1","1","0.0011363636363636","0"
"3,8      (M86.47) Chronic osteomyelitis with
96       draining sinus, ankle and foot","1","0","1","0.0011363636363636","0"
"3,8      (M10.2) Drug-induced gout 97","1","0","1","0.0011363636363636","0"
"3,8      (M62.62) Muscle strain, upper arm 98","1","0","1","0.0011363636363636","0"
"3,8      (M62.8) Other specified disorders of
99       muscle","0","1","1","0.0011363636363636","0"
"3,9      (M65.2) Calcific tendinitis 00","0","1","1","0.0011363636363636","0"
"3,9      (M24.26) Disorder of ligament, lower leg 01","1","0","1","0.0011363636363636","0"
"3,9      (M46) Other inflammatory 02       spondylopathies","0","1","1","0.0011363636363636","0"
"3,9      (M10.37) Gout due to impairment of 03       renal function, ankle and foot","1","0","1","0.0011363636363636","0"
"3,9      (M62.82) Other specified disorders of 04       muscle, upper arm","0","1","1","0.0011363636363636","0"
"3,9      (M62.88) Other specified disorders of 05       muscle, other","0","1","1","0.0011363636363636","0"
"3,9      (M21.9) Acquired deformity of limb, 06       unspecified","1","0","1","0.0011363636363636","0"
"3,9      (M79.60) Pain in limb, multiple sites 07","0","1","1","0.0011363636363636","0"
"3,9      (M10.24) Drug-induced gout, hand 08","1","0","1","0.0011363636363636","0"
"3,9      (M62.93) Disorder of muscle, 09       unspecified, forearm","1","0","1","0.0011363636363636","0"
"3,9      (M49.24) Enterobacterial spondylitis,
10       thoracic region","0","1","1","0.0011363636363636","0"
"3,9      (M19.85) Other specified arthrosis,
11       pelvic and thigh","1","0","1","0.0011363636363636","0"
"3,9      (M08.05) Juvenile rheumatoid arthritis,
12       pelvic and thigh","0","1","1","0.0011363636363636","0"
"3,9      (M14.1) Crystal arthropathy in other
13       metabolic disorders","1","0","1","0.0011363636363636","0"
"3,9      (M54.90) Dorsalgia, unspecified, multiple
14       sites","0","1","1","0.0011363636363636","0"
"3,9      (M25.98) Joint disorder, unspecified,
15       other sites","1","0","1","0.0011363636363636","0"
"3,9      (M21.0) Valgus deformity, not elsewhere
16       classified","0","1","1","0.0011363636363636","0"
"3,9      (I44.6) Other and unspecified fascicular
17       block","1","0","1","0.0011363636363636","0"
"3,9      (M06.83) Other specified rheumatoid
18       arthritis, forearm","0","1","1","0.0011363636363636","0"
"3,9      (M76.61) Achilles tendinitis, shoulder
19       region","0","1","1","0.0011363636363636","0"
"3,9      (K55.8) Other vascular disorders of
20       intestine","1","0","1","0.0011363636363636","0"
"3,9      (M25.81) Other specified joint disorders,
21       sholder region","0","1","1","0.0011363636363636","0"
"3,9      (M17.2) Post-traumatic gonarthrosis,
22       bilateral","1","0","1","0.0011363636363636","0"
"3,9      (M10.09) Idiopathic gout, unspecified
23       site","0","1","1","0.0011363636363636","0"
"3,9      (M25.68) Stiffness of joint, not elsewhere
24       classified, other sites","0","1","1","0.0011363636363636","0"
"3,9      (L70.4) Infantile acne 25","0","1","1","0.0011363636363636","0"
"3,9      (L83) Acanthosis nigricans 26","0","1","1","0.0011363636363636","0"
"3,9      (M06.88) Other specified rheumatoid
27       arthritis, other sites","0","1","1","0.0011363636363636","0"
"3,9      (I22.8) Subsequent myocardial infarction
28       of other sites","0","1","1","0.0011363636363636","0"
"3,9      (K63.5) Polyp of colon 29","0","1","1","0.0011363636363636","0"
"3,9      (L43.0) Hypertrophic lichen planus 30","1","0","1","0.0011363636363636","0"
"3,9      (L60.1) Onycholysis
31","0","1","1","0.0011363636363636","0"
"3,9      (K42.1) Umbilical hernia with gangrene 32","0","1","1","0.0011363636363636","0"
"3,9      (K66.9) Disorder of peritoneum,
33       unspecified","0","1","1","0.0011363636363636","0"
"3,9      (J39.1) Other abscess of pharynx 34","0","1","1","0.0011363636363636","0"
"3,9      (L66.9) Cicatricial alopecia, unspecified 35","1","0","1","0.0011363636363636","0"
"3,9      (L25.0) Unspecified contact dermatitis
36       due to cosmetics","0","1","1","0.0011363636363636","0"
"3,9      (F33.0) Recurrent depressive disorder,
37       current episode mild","0","1","1","0.0011363636363636","0"
"3,9      (I05.9) Mitral valve disease, unspecified 38","0","1","1","0.0011363636363636","0"
"3,9      (E05.5) Thyroid crisis or storm 39","0","1","1","0.0011363636363636","0"
"3,9      (G57.8) Other mononeuropathies of
40       lower limb","0","1","1","0.0011363636363636","0"
"3,9      (G24.8) Other dystonia 41","0","1","1","0.0011363636363636","0"
"3,9      (F52.2) Failure of genital response 42","1","0","1","0.0011363636363636","0"
"3,9      (G47.2) Disorders of the sleep-wake
43       schedule","1","0","1","0.0011363636363636","0"
"3,9      (H83.3) Noise effects on inner ear 44","1","0","1","0.0011363636363636","0"
"3,9      (E83.5) Disorders of calcium metabolism 45","0","1","1","0.0011363636363636","0"
"3,9      (E03.4) Atrophy of thyroid (acquired) 46","0","1","1","0.0011363636363636","0"
"3,9      (F84.3) Other childhood disintegrative
47       disorder","1","0","1","0.0011363636363636","0"
"3,9      (D68.1) Hereditary factor XI deficiency 48","1","0","1","0.0011363636363636","0"
"3,9      (A54.6) Gonococcal infection of anus
49       and rectum","1","0","1","0.0011363636363636","0"
"3,9      (A66.1) Multiple papillomata and wet
50       crab yaws","1","0","1","0.0011363636363636","0"
"3,9      (F98.8) Other specified behavioural and
51       emotional disorders with onset usually","1","0","1","0.0011363636363636","0"
"3,9      (C50.5) Malignant neoplasm of lower-
52       outer quadrant of breast","0","1","1","0.0011363636363636","0"
"3,9      (A26.9) Erysipeloid, unspecified 53","1","0","1","0.0011363636363636","0"
"3,9      (D03.8) Melanoma in situ of other sites 54","1","0","1","0.0011363636363636","0"
"3,9      (A30.4) Borderline lepromatous leprosy 55","1","0","1","0.0011363636363636","0"
"3,9      (D48.5) Neoplasm of uncertain or
56       unknown behavior of skin","0","1","1","0.0011363636363636","0"
"3,9      (B08.5) Enteroviral vesicular pharyngitis 57","1","0","1","0.0011363636363636","0"
"3,9      (Z91.8) Personal history of other
58       specified risk-factors, not elsewhere","0","1","1","0.0011363636363636","0"
"3,9      (Z90.4) Acquired absence of other parts
59       of digestive tract","0","1","1","0.0011363636363636","0"
"3,9      (Y54.6) Adverse effects in the
60       therapeutic use of electrolytic, caloric","0","1","1","0.0011363636363636","0"
"3,9      (Z49.2) Other dialysis 61","1","0","1","0.0011363636363636","0"
"3,9      (Z75.8) Other problems related to
62       medical facilities and other health care","0","1","1","0.0011363636363636","0"
"3,9      (Z61.6) Problems related to alleged
63       physical abuse of child","0","1","1","0.0011363636363636","0"
"3,9      (Z03.6) Observation for suspected toxic
64       effect from ingested substance","1","0","1","0.0011363636363636","0"
"3,9      (Z96.0) Presence of urogenital implants 65","1","0","1","0.0011363636363636","0"
"3,9      (Y54.3) Adverse effects in the
66       therapeutic use of benzothiadiazine","1","0","1","0.0011363636363636","0"
"3,9      (V28.9) Motorcycle rider injured in
67       noncollision transport accident,","1","0","1","0.0011363636363636","0"
"3,9      (T63.6) Toxic effect of contact with other
68       marine animals","0","1","1","0.0011363636363636","0"
"3,9      (T26.3) Burn of other parts of eye and
69       adnexa","1","0","1","0.0011363636363636","0"
"3,9      (S93.5) Sprain and strain of toe(s) 70","1","0","1","0.0011363636363636","0"
"3,9      (V22.9) Motorcycle rider injured in
71       collision with two- or three-wheeled","0","1","1","0.0011363636363636","0"
"3,9      (T67.6) Effects of heat fatigue, transient 72","1","0","1","0.0011363636363636","0"
"3,9      (T60.9) Toxic effect of pesticide,
73       unspecified","1","0","1","0.0011363636363636","0"
"3,9      (S63.3) Traumatic rupture of ligament of
74       wrist and carpus","1","0","1","0.0011363636363636","0"
"3,9      (T39.3) Poisoning by other nonsteroidal
75       anti-inflammatory drugs [NSAID]","0","1","1","0.0011363636363636","0"
"3,9      (S83.5) Sprain and strain involving
76       (anterior) (posterior) cruciate ligament of","0","1","1","0.0011363636363636","0"
"3,9      (S72.7) Multiple fractures of femur 77","0","1","1","0.0011363636363636","0"
"3,9      (S02.8) Fractures of other skull and
78       facial bones","1","0","1","0.0011363636363636","0"
"3,9      (Q44.4) Choledochal cyst 79","0","1","1","0.0011363636363636","0"
"3,9      (Q75.3) Macrocephaly
80","0","1","1","0.0011363636363636","0"
"3,9      (O90.8) Other complications of the
81       puerperium, not elsewhere classified","0","1","1","0.0011363636363636","0"
"3,9      (Q11.2) Microphthalmos
82","0","1","1","0.0011363636363636","0"
"3,9      (R25.3) Fasciculation
83","1","0","1","0.0011363636363636","0"
"3,9      (S66.6) Injury of multiple flexor muscles
84       and tendons at wrist and hand level","1","0","1","0.0011363636363636","0"
"3,9      (S18) Traumatic amputation at neck
85       level","1","0","1","0.0011363636363636","0"
"3,9      (T23.3) Burn of third degree of wrist and
86       hand","0","1","1","0.0011363636363636","0"
"3,9      (Q20.1) Double outlet right ventricle 87","1","0","1","0.0011363636363636","0"
"3,9      (Q55.8) Other specified congenital
88       malformations of male genital organs","1","0","1","0.0011363636363636","0"
"3,9      (S92.2) Fracture of other tarsal bone(s) 89","0","1","1","0.0011363636363636","0"
"3,9      (S71.8) Open wound of other and
90       unspecified parts of pelvic girdle","1","0","1","0.0011363636363636","0"
"3,9      (S72.80) Fractures of other parts of
91       femur, closed","0","1","1","0.0011363636363636","0"
"3,9      (S76.7) Injury of multiple muscles and
92       tendons at hip and thigh level","1","0","1","0.0011363636363636","0"
"3,9      (S02.6) Fracture of mandible 93","1","0","1","0.0011363636363636","0"
"3,9      (Q11.0) Cystic eyeball 94","0","1","1","0.0011363636363636","0"
"3,9      (S22.50) Flail chest, closed 95","1","0","1","0.0011363636363636","0"
"3,9      (S21.2) Open wound of back wall of
96       thorax","1","0","1","0.0011363636363636","0"
"3,9      (S39.8) Other specified injuries of
97       abdomen, lower back and pelvis","0","1","1","0.0011363636363636","0"
"3,9      (S33.4) Traumatic rupture of symphysis
98       pubis","1","0","1","0.0011363636363636","0"
"3,9      (P70.4) Other neonatal hypoglycaemia 99","1","0","1","0.0011363636363636","0"
"4,0      (P35.2) Congenital herpesviral [herpes 00       simplex] infection","0","1","1","0.0011363636363636","0"
"4,0      (M43.07) Spondylolysis, lumbosacral 01       region","1","0","1","0.0011363636363636","0"
"4,0      (M13.88) Other specified arthritis, other 02       sites","0","1","1","0.0011363636363636","0"
"4,0      (M65.8) Other synovitis and 03       tenosynovitis","0","1","1","0.0011363636363636","0"
"4,0      (M53.09) Cervicocranial syndrome, site 04       unspecified","1","0","1","0.0011363636363636","0"
"4,0      (M81.00) Postmenopausal osteoporosis, 05       multiple sites","0","1","1","0.0011363636363636","0"
"4,0      (M45.5) Ankylosing spondylitis, 06       thoracolumbar region","0","1","1","0.0011363636363636","0"
"4,0      (M24.2) Disorder of ligament 07","1","0","1","0.0011363636363636","0"
"4,0      (M65.32) Trigger finger, upper arm 08","1","0","1","0.0011363636363636","0"
"4,0      (M24.28) Disorder of ligament, other 09       sites","0","1","1","0.0011363636363636","0"
"4,0      (M70.83) Other soft tissue disorder
10       related to use overuse and pressure,","0","1","1","0.0011363636363636","0"
"4,0      (M72.50) Fasciitis, not elsewhere
11       classified, multiple sites","0","1","1","0.0011363636363636","0"
"4,0      (M54.46) Lumbago with sciatica, lumbar
12       region","1","0","1","0.0011363636363636","0"
"4,0      (M76.48) Tibial collateral bursitis
13       [Pellegrini-Stieda], other","0","1","1","0.0011363636363636","0"
"4,0      (M05.84) Other seropositive rheumatoid
14       arthritis, hand","0","1","1","0.0011363636363636","0"
"4,0      (M16.9) Coxarthrosis, unspecified 15","0","1","1","0.0011363636363636","0"
"4,0      (L10.1) Pemphigus vegetans 16","0","1","1","0.0011363636363636","0"
"4,0      (M08.89) Other juvenile arthritis,
17       unspecified site","1","0","1","0.0011363636363636","0"
"4,0      (M25.43) Effusion of joint, forearm 18","0","1","1","0.0011363636363636","0"
"4,0      (M24.17) Other articular cartilage
19       disorders, ankle and foot","0","1","1","0.0011363636363636","0"
"4,0      (M40.57) Lordosis, unspecified,
20       lumbosacral region","1","0","1","0.0011363636363636","0"
"4,0      (H70.8) Other mastoiditis and related
21       conditions","1","0","1","0.0011363636363636","0"
"4,0      (M23.2) Derangement of meniscus due
22       to old tear or injury","1","0","1","0.0011363636363636","0"
"4,0      (M40.37) Flatback syndrome,
23       lumbosacral region","0","1","1","0.0011363636363636","0"
"4,0      (M06.06) Seronegative rheumatoid
24       arthritis, lower leg","0","1","1","0.0011363636363636","0"
"4,0      (M76.44) Tibial collateral bursitis
25       [Pellegrini-Stieda], hand","0","1","1","0.0011363636363636","0"
"4,0      (I37.0) Pulmonary valve stenosis 26","1","0","1","0.0011363636363636","0"
"4,0      (I39.8) Endocarditis, valve unspecified,
27       in diseases classified elsewhere","1","0","1","0.0011363636363636","0"
"4,0      (K26.7) Duodenal ulcer, chronic without
28       haemorrhage or perforation","1","0","1","0.0011363636363636","0"
"4,0      (K91.5) Postcholecystectomy syndrome 29","1","0","1","0.0011363636363636","0"
"4,0      (J12.0) Adenoviral pneumonia 30","1","0","1","0.0011363636363636","0"
"4,0      (K13.1) Cheek and lip biting 31","1","0","1","0.0011363636363636","0"
"4,0      (L11.0) Acquired keratosis follicularis 32","1","0","1","0.0011363636363636","0"
"4,0      (K51.3) Ulcerative (chronic)
33       rectosigmoiditis","0","1","1","0.0011363636363636","0"
"4,0      (I67.8) Other specified cerebrovascular
34       diseases","0","1","1","0.0011363636363636","0"
"4,0      (J14) Pneumonia due to Haemophilus
35       influenzae","1","0","1","0.0011363636363636","0"
"4,0      (K51.8) Other ulcerative colitis 36","0","1","1","0.0011363636363636","0"
"4,0      (I31.9) Disease of pericardium,
37       unspecified","0","1","1","0.0011363636363636","0"
"4,0      (J15.6) Pneumonia due to other aerobic
38       Gram-negative bacteria","1","0","1","0.0011363636363636","0"
"4,0      (F44.9) Dissociative [conversion]
39       disorder, unspecified","0","1","1","0.0011363636363636","0"
"4,0      (K04.8) Radicular cyst 40","1","0","1","0.0011363636363636","0"
"4,0      (I68.8) Other cerebrovascular disorders
41       in diseases classified elsewhere","0","1","1","0.0011363636363636","0"
"4,0      (K31.4) Gastric diverticulum 42","0","1","1","0.0011363636363636","0"
"4,0      (H69.8) Other specified disorders of
43       Eustachian tube","0","1","1","0.0011363636363636","0"
"4,0      (L53.2) Erythema marginatum 44","1","0","1","0.0011363636363636","0"
"4,0      (J85.1) Abscess of lung with pneumonia 45","1","0","1","0.0011363636363636","0"
"4,0      (K90.2) Blind loop syndrome, not
46       elsewhere classified","1","0","1","0.0011363636363636","0"
"4,0      (J38.0) Paralysis of vocal cords and
47       larynx","1","0","1","0.0011363636363636","0"
"4,0      (L71.9) Rosacea, unspecified 48","0","1","1","0.0011363636363636","0"
"4,0      (K73.8) Other chronic hepatitis, not
49       elsewhere classified","1","0","1","0.0011363636363636","0"
"4,0      (F33.8) Other recurrent depressive
50       disorders","0","1","1","0.0011363636363636","0"
"4,0      (G82.3) Flaccid tetraplegia 51","0","1","1","0.0011363636363636","0"
"4,0      (E50.8) Other manifestations of vitamin
52       A deficiency","1","0","1","0.0011363636363636","0"
"4,0      (J10.0) Influenza with pneumonia,
53       influenza virus identified","0","1","1","0.0011363636363636","0"
"4,0      (M25.17) Fistula of joint, ankle and foot 54","0","1","1","0.0011363636363636","0"
"4,0      (H16.3) Interstitial and deep keratitis 55","0","1","1","0.0011363636363636","0"
"4,0      (F20.5) Residual schizophrenia 56","1","0","1","0.0011363636363636","0"
"4,0      (I09.8) Other specified rheumatic heart
57       diseases","0","1","1","0.0011363636363636","0"
"4,0      (D03.3) Melanoma in situ of other and
58       unspecified parts of face","0","1","1","0.0011363636363636","0"
"4,0      (E64.0) Sequelae of protein-energy
59       malnutrition","1","0","1","0.0011363636363636","0"
"4,0      (F30.8) Other manic episodes 60","0","1","1","0.0011363636363636","0"
"4,0      (H95.1) Other disorders following
61       mastoidectomy","0","1","1","0.0011363636363636","0"
"4,0      (G30.8) Other Alzheimer`s disease 62","0","1","1","0.0011363636363636","0"
"4,0      (E53.8) Deficiency of other specified B
63       group vitamins","0","1","1","0.0011363636363636","0"
"4,0      (B08.6) Exanthematic febrile disease
64       (MEXICO)","0","1","1","0.0011363636363636","0"
"4,0      (Z90.3) Acquired absence of part of
65       stomach","0","1","1","0.0011363636363636","0"
"4,0      (Z45.3) Adjustment and management of
66       implanted hearing device","0","1","1","0.0011363636363636","0"
"4,0      (W21) Striking against or struck by
67       sports equipment causing accidental","1","0","1","0.0011363636363636","0"
"4,0      (Z72.4) Inappropriate diet and eating
68       habits","0","1","1","0.0011363636363636","0"
"4,0      (W05) Fall involving wheelchair causing
69       accidental injury","0","1","1","0.0011363636363636","0"
"4,0      (Y76.3) Obstetric and gynaecological
70       devices associated with adverse","0","1","1","0.0011363636363636","0"
"4,0      (Z70.0) Counselling related to sexual
71       attitude","0","1","1","0.0011363636363636","0"
"4,0      (Z50.9) Care involving use of
72       rehabilitation procedure, unspecified","1","0","1","0.0011363636363636","0"
"4,0      (Z25.8) Need for immunization against
73       other specified single viral diseases","0","1","1","0.0011363636363636","0"
"4,0      (Z46.6) Fitting and adjustment of urinary
74       device","1","0","1","0.0011363636363636","0"
"4,0      (Z43.3) Attention to colostomy 75","0","1","1","0.0011363636363636","0"
"4,0      (Z61.4) Problems related to alleged
76       sexual abuse of child by person within","0","1","1","0.0011363636363636","0"
"4,0      (Z59.6) Low income 77","0","1","1","0.0011363636363636","0"
"4,0      (X11) Contact with hot tap-water as an
78       external cause of morbidity and mortality","1","0","1","0.0011363636363636","0"
"4,0      (Z20.5) Contact with and exposure to
79       viral hepatitis","1","0","1","0.0011363636363636","0"
"4,0      (S52.6) Fracture of lower end of both
80       ulna and radius","1","0","1","0.0011363636363636","0"
"4,0      (T79.2) Traumatic secondary and
81       recurrent haemorrhage","1","0","1","0.0011363636363636","0"
"4,0      (S88.0) Traumatic amputation at knee
82       level","0","1","1","0.0011363636363636","0"
"4,0      (T00.2) Superficial injuries involving
83       multiple regions of upper limb(s)","1","0","1","0.0011363636363636","0"
"4,0      (T60.8) Toxic effect of other pesticides 84","0","1","1","0.0011363636363636","0"
"4,0      (T90.9) Sequelae of unspecified injury of
85       head","1","0","1","0.0011363636363636","0"
"4,0      (S52.4) Fracture of shafts of both ulna
86       and radius","0","1","1","0.0011363636363636","0"
"4,0      (S63.2) Multiple dislocations of fingers 87","0","1","1","0.0011363636363636","0"
"4,0      (R77.0) Abnormality of albumin 88","1","0","1","0.0011363636363636","0"
"4,0      (T29.5) Corrosions of multiple regions,
89       no more than first-degree corrosions","1","0","1","0.0011363636363636","0"
"4,0      (V23.9) Motorcycle rider injured in
90       collision with car, pick-up truck or van,","0","1","1","0.0011363636363636","0"
"4,0      (S69.8) Other specified injuries of wrist
91       and hand","0","1","1","0.0011363636363636","0"
"4,0      (Q44.2) Atresia of bile ducts 92","1","0","1","0.0011363636363636","0"
"4,0      (Q03.8) Other congenital hydrocephalus 93","1","0","1","0.0011363636363636","0"
"4,0      (N73.5) Female pelvic peritonitis,
94       unspecified","0","1","1","0.0011363636363636","0"
"4,0      (T34.8) Frostbite with tissue necrosis of
95       ankle and foot","1","0","1","0.0011363636363636","0"
"4,0      (R41.0) Disorientation, unspecified 96","1","0","1","0.0011363636363636","0"
"4,0      (S82.6) Fracture of lateral malleolus 97","0","1","1","0.0011363636363636","0"
"4,0      (S02.30) Fracture of orbital floor, closed 98","0","1","1","0.0011363636363636","0"
"4,0      (T33.7) Superficial frostbite of knee and
99       lower leg","1","0","1","0.0011363636363636","0"
"4,1      (T44.9) Poisoning by other and
00       unspecified drugs primarily affecting the","1","0","1","0.0011363636363636","0"
"4,1      (T84.5) Infection and inflammatory
01       reaction due to internal joint prosthesis","1","0","1","0.0011363636363636","0"
"4,1      (V02.0) Pedestrian injured in collision 02       with two- or three-wheeled motor","0","1","1","0.0011363636363636","0"
"4,1      (T11.2) Dislocation, sprain and strain of 03       unspecified joint and ligament of upper","1","0","1","0.0011363636363636","0"
"4,1      (P61.2) Anaemia of prematurity 04","0","1","1","0.0011363636363636","0"
"4,1      (S77.0) Crushing injury of hip 05","0","1","1","0.0011363636363636","0"
"4,1      (S88.9) Traumatic amputation of lower 06       leg, level unspecified","1","0","1","0.0011363636363636","0"
"4,1      (V19.1) Passenger injured in collision 07       with other and unspecified motor","0","1","1","0.0011363636363636","0"
"4,1      (Q18.2) Other branchial cleft 08       malformations","1","0","1","0.0011363636363636","0"
"4,1      (T13.3) Injury of unspecified nerve of 09       lower limb, level unspecified","0","1","1","0.0011363636363636","0"
"4,1      (T95.4) Sequelae of burn and corrosion
10       classifiable only according to extent of","1","0","1","0.0011363636363636","0"
"4,1      (Q25.9) Congenital malformation of
11       great arteries, unspecified","1","0","1","0.0011363636363636","0"
"4,1      (N88.3) Incompetence of cervix uteri 12","0","1","1","0.0011363636363636","0"
"4,1      (Q35.8) Cleft palate, unspecified,
13       bilateral*","0","1","1","0.0011363636363636","0"
"4,1      (O04.6) Medical abortion, complete or
14       unspecified, complicated by delayed or","0","1","1","0.0011363636363636","0"
"4,1      (O74.6) Other complications of spinal
15       and epidural anaesthesia during labour","1","0","1","0.0011363636363636","0"
"4,1      (O33.1) Maternal care for disproportion
16       due to generally contracted pelvis","0","1","1","0.0011363636363636","0"
"4,1      (O47.1) False labour at or after 37
17       completed weeks of gestation","0","1","1","0.0011363636363636","0"
"4,1      (Q50.6) Other congenital malformations
18       of fallopian tube and broad ligament","1","0","1","0.0011363636363636","0"
"4,1      (S31.2) Open wound of penis 19","1","0","1","0.0011363636363636","0"
"4,1      (P29.3) Persistent fetal circulation 20","0","1","1","0.0011363636363636","0"
"4,1      (O72.3) Postpartum coagulation defects 21","0","1","1","0.0011363636363636","0"
"4,1      (M73.84) Other soft tissue disorders in
22       diseases classified elsewhere, hand","0","1","1","0.0011363636363636","0"
"4,1      (P23.9) Congenital pneumonia,
23       unspecified","1","0","1","0.0011363636363636","0"
"4,1      (P74.9) Transitory metabolic disturbance
24       of newborn, unspecified","1","0","1","0.0011363636363636","0"
"4,1      (O70.0) First degree perineal laceration
25       during delivery","0","1","1","0.0011363636363636","0"
"4,1      (M99.57) Intervertebral disc stenosis of
26       neural canal , pelvic region, upper","0","1","1","0.0011363636363636","0"
"4,1      (M41.90) Scoliosis, multiple sites in
27       spine","1","0","1","0.0011363636363636","0"
"4,1      (M43.2) Other fusion of spine 28","0","1","1","0.0011363636363636","0"
"4,1      (M10.06) Idiopathic gout, lower leg 29","0","1","1","0.0011363636363636","0"
"4,1      (M10.07) Idiopathic gout, ankle and foot 30","1","0","1","0.0011363636363636","0"
"4,1      (M54.95) Dorsalgia, unspecified,
31       thoracolumbar region","0","1","1","0.0011363636363636","0"
"4,1      (M06.82) Other specified rheumatoid
32       arthritis, upper arm","0","1","1","0.0011363636363636","0"
"4,1      (M70.2) Olecranon bursitis 33","0","1","1","0.0011363636363636","0"
"4,1      (M25.46) Effusion of joint, lower leg 34","1","0","1","0.0011363636363636","0"
"4,1      (K56.1) Intussusception
35","0","1","1","0.0011363636363636","0"
"4,1      (I44.1) Atrioventricular block, second
36       degree","0","1","1","0.0011363636363636","0"
"4,1      (M06.23) Rheumatoid bursitis, forearm 37","0","1","1","0.0011363636363636","0"
"4,1      (M00.2) Other streptococcal arthritis and
38       polyarthritis","1","0","1","0.0011363636363636","0"
"4,1      (K28.7) Gastrojejunal ulcer, chronic
39       without haemorrhage or perforation","1","0","1","0.0011363636363636","0"
"4,1      (M60.29) Foreign body granuloma of soft
40       tissue, site unspecified","1","0","1","0.0011363636363636","0"
"4,1      (K09.2) Other cysts of jaw 41","0","1","1","0.0011363636363636","0"
"4,1      (I25.3) Aneurysm of heart 42","0","1","1","0.0011363636363636","0"
"4,1      (G83.2) Monoplegia of upper limb 43","1","0","1","0.0011363636363636","0"
"4,1      (I45.8) Other specified conduction
44       disorders","0","1","1","0.0011363636363636","0"
"4,1      (K90.8) Other intestinal malabsorption 45","1","0","1","0.0011363636363636","0"
"4,1      (L57.0) Actinic keratosis 46","1","0","1","0.0011363636363636","0"
"4,1      (K26.2) Duodenal ulcer, acute with both
47       haemorrhage and perforation","0","1","1","0.0011363636363636","0"
"4,1      (H62.3) Otitis externa in other infectious
48       and parasitic diseases classified","0","1","1","0.0011363636363636","0"
"4,1      (F33.2) Recurrent depressive disorder,
49       current episode severe without psychotic","1","0","1","0.0011363636363636","0"
"4,1      (M23.59) Chronic instability of knee,
50       unspecified ligament or unspecified","1","0","1","0.0011363636363636","0"
"4,1      (I71.5) Thoracoabdominal aortic
51       aneurysm, ruptured","1","0","1","0.0011363636363636","0"
"4,1      (J04.1) Acute tracheitis 52","0","1","1","0.0011363636363636","0"
"4,1      (E51.1) Beriberi
53","1","0","1","0.0011363636363636","0"
"4,1      (F61) Mixed and other personality
54       disorders","0","1","1","0.0011363636363636","0"
"4,1      (G43.3) Complicated migraine 55","0","1","1","0.0011363636363636","0"
"4,1      (K63.2) Fistula of intestine 56","0","1","1","0.0011363636363636","0"
"4,1      (M06.17) Adult-onset still`s disease,
57       ankle and foot","0","1","1","0.0011363636363636","0"
"4,1      (H22.8) Other disorders of iris and ciliary
58       body in diseases classified elsewhere","0","1","1","0.0011363636363636","0"
"4,1      (G06.0) Intracranial abscess and
59       granuloma","1","0","1","0.0011363636363636","0"
"4,1      (E12.3) Malnutrition-related diabetes
60       mellitus with ophthalmic complications","1","0","1","0.0011363636363636","0"
"4,1      (E05.3) Thyrotoxicosis from ectopic
61       thyroid tissue","1","0","1","0.0011363636363636","0"
"4,1      (E05.2) Thyrotoxicosis with toxic
62       multinodular goitre","0","1","1","0.0011363636363636","0"
"4,1      (F00.0) Dementia in Alzheimer`s disease
63       with early onset","1","0","1","0.0011363636363636","0"
"4,1      (F02.3) Dementia in Parkinson`s disease 64","1","0","1","0.0011363636363636","0"
"4,1      (E54) Ascorbic acid deficiency 65","0","1","1","0.0011363636363636","0"
"4,1      (F48.9) Neurotic disorder, unspecified 66","0","1","1","0.0011363636363636","0"
